<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;11/09/24;16:00:00;0.06195;0.06195;0.0618;0.0619;340000
MRKY;60;11/09/24;18:00:00;0.06185;0.0622;0.06185;0.06195;430000
MRKY;60;11/09/24;19:00:00;0.062;0.062;0.06195;0.06195;470000
MRKY;60;12/09/24;11:00:00;0.0613;0.0613;0.05915;0.06;25770000
MRKY;60;12/09/24;12:00:00;0.05965;0.0598;0.05955;0.0598;2190000
MRKY;60;12/09/24;13:00:00;0.0598;0.0599;0.0593;0.0596;4260000
MRKY;60;12/09/24;14:00:00;0.0596;0.0598;0.0593;0.05965;2300000
MRKY;60;12/09/24;15:00:00;0.05965;0.0601;0.05965;0.05965;5330000
MRKY;60;12/09/24;16:00:00;0.0598;0.05985;0.05965;0.0597;1230000
MRKY;60;12/09/24;17:00:00;0.0598;0.0598;0.05825;0.05905;8590000
MRKY;60;12/09/24;18:00:00;0.05925;0.0595;0.0591;0.0593;1860000
MRKY;60;12/09/24;19:00:00;0.0593;0.05935;0.0591;0.0591;2580000
MRKY;60;13/09/24;11:00:00;0.05905;0.0601;0.059;0.05905;9980000
MRKY;60;13/09/24;12:00:00;0.0592;0.0592;0.059;0.05915;620000
MRKY;60;13/09/24;13:00:00;0.05915;0.0593;0.0591;0.0591;750000
MRKY;60;13/09/24;14:00:00;0.05935;0.0594;0.05835;0.05865;4720000
MRKY;60;13/09/24;15:00:00;0.0585;0.0586;0.05795;0.0583;7450000
MRKY;60;13/09/24;16:00:00;0.0584;0.05865;0.0581;0.05865;7350000
MRKY;60;13/09/24;17:00:00;0.0586;0.05955;0.0584;0.05955;12390000
MRKY;60;13/09/24;18:00:00;0.05915;0.0598;0.05915;0.0592;2310000
MRKY;60;13/09/24;19:00:00;0.0593;0.05945;0.0591;0.0591;5530000
MRKY;60;16/09/24;11:00:00;0.05955;0.06015;0.05915;0.0599;7890000
MRKY;60;16/09/24;12:00:00;0.0602;0.0609;0.0599;0.06055;10280000
MRKY;60;16/09/24;13:00:00;0.06055;0.0609;0.06045;0.06085;4410000
